Frequency,Prominence,Section
61,307.792793304467,1
62,121.660794605031,1
61,94.750317505927,1
62,83.6839837609374,1
61,118.444114842798,1
61,288.967976166922,1
61,98.1557766769364,1
61,101.54805135717,1
61,204.970036251115,1
62,52.0163401024192,1
62,94.8727174141567,1
62,101.422779541655,1
61,273.605199169871,1
61,122.025293613969,1
62,44.8836562845306,1
62,97.122589292195,1
62,118.47947186853,1
62,154.120008674067,1
61,108.142626431088,1
61,172.58487539832,1
61,80.4395038553764,1
62,134.968802276165,1
61,118.690633123274,1
61,89.0741587117296,1
61,151.421490056598,1
62,105.85812712114,1
61,191.537134651633,1
62,88.9454526825233,1
62,176.176362909016,1
62,174.95285574874,1
62,94.3460670795815,1
62,130.910828459431,1
62,125.618606417379,1
61,135.536420618486,1
62,137.687387725601,1
62,126.037486410968,1
62,125.230289103259,1
62,98.9411306440499,1
62,102.566844178101,1
61,130.688875610484,1
62,198.339188273143,1
62,140.946939973875,1
62,83.4086233999735,1
62,109.013836103464,1
62,143.035766049093,1
62,118.33284455971,1
62,184.638259027084,1
62,191.140953638982,1
62,142.385756862893,1
62,86.46556664641,1
62,100.542766736054,1
62,108.804781348198,1
61,113.884133689249,1
62,94.4438906354704,1
62,99.6068625375663,1
62,93.9493908498279,1
62,130.661757177624,1
62,274.259704599096,1
62,118.641141333382,1
62,139.971800859168,1
62,146.850353051256,1
62,123.014723676711,1
62,128.168058074397,1
62,59.1992156756294,1
62,245.74303908677,1
62,151.699904091996,1
62,69.1942913865739,1
62,128.644875786782,1
62,147.783690329093,1
62,49.5627768171927,1
62,167.114028274653,1
62,151.125748361186,1
62,111.418977702609,1
62,171.59474225319,1
62,162.033337777361,1
62,114.292302098165,1
62,125.41487778079,1
62,148.557377300264,1
62,177.300119123853,1
62,178.686608490996,1
62,56.6122533920737,1
62,186.037834045673,1
62,69.7589343580385,1
62,105.094022977763,1
62,122.682905239629,1
62,166.449656744058,1
62,164.45001784574,1
62,152.838353113136,1
62,148.595194947701,1
62,109.15183311794,1
62,140.688922649926,1
62,58.4349478380323,1
62,206.973923198813,1
62,110.598738798079,1
62,125.011925967028,1
62,235.093116343746,1
62,129.73471907992,1
62,86.9314195042917,1
62,104.980891066816,1
62,178.470103351839,1
62,109.694528245412,1
62,166.942201887763,1
62,233.431777812611,1
62,150.774644517562,1
62,101.908946025012,1
62,143.268959702322,1
62,94.2496119301822,1
62,76.8755617281345,1
62,139.628007465081,1
62,242.271084563344,1
62,136.872472301428,1
62,152.577712256752,1
62,187.958524556219,1
62,59.6672526575175,1
62,135.83869855455,1
62,95.7638312195201,1
62,267.718236189272,1
62,107.08862570003,1
62,99.618848605402,1
62,111.510506753783,1
62,133.277858552754,1
62,157.682946048837,1
62,155.464132417127,1
62,198.990545691741,1
62,145.421350842093,1
62,93.0205053623376,1
62,119.114314558713,1
62,93.817395012785,1
62,129.155047810095,1
62,108.120797949692,1
62,260.116920901106,1
62,114.268020566507,1
62,154.126396420959,1
62,139.905582763453,1
62,164.107748209172,1
62,181.050525778046,1
62,130.383228819302,1
62,287.004991693436,1
62,130.244261232873,1
62,124.027646542444,1
62,104.002520569202,1
62,126.395813270676,1
62,128.594696412049,1
62,109.300030593027,1
62,287.398112308308,1
62,67.0768698996443,1
62,144.513359174039,1
62,139.014701777138,1
62,151.117497461741,1
62,109.188199449359,1
62,151.612270539177,1
62,187.365818526492,1
62,161.636849131052,1
62,107.310652357177,1
62,98.7789568959623,1
62,107.436117501488,1
62,155.944497556686,1
62,98.3504666181316,1
62,296.979699076034,1
62,93.8168335390666,1
62,125.572099735962,1
62,71.8369292480414,1
62,145.12723064608,1
62,163.725448118848,1
62,73.510424935303,1
62,294.748907301785,1
62,161.350977116043,1
62,248.354691077911,1
62,152.059331976005,1
62,188.456431015396,1
62,166.163484247835,1
62,141.906328393709,1
62,239.849942753147,1
62,128.323282989474,1
62,96.8603338604588,1
62,90.313296136151,1
62,143.773654170507,1
62,135.268059141246,1
62,154.98090008934,1
62,220.7163133644,1
62,103.091050835402,1
62,140.846735646088,1
62,100.030240888108,1
62,142.03868120287,1
62,134.139255743005,1
62,143.133121820654,1
62,289.47725016458,1
62,112.013093575405,1
62,155.868755247206,1
62,103.309979354423,1
62,114.522249979539,1
62,110.73949887193,1
62,83.9345724919584,1
62,196.888864128593,1
62,83.8335487715702,1
62,163.062858838487,1
62,151.540302392388,1
62,101.689210493091,1
62,147.919028876597,1
62,118.015950580948,1
65,111.886656494114,2
65,96.9757460153964,2
65,58.1633719088302,2
65,68.9208718002112,2
65,79.001826104687,2
65,34.1682892130781,2
65,156.392400779046,2
65,112.590026578164,2
65,89.856459007097,2
65,98.3611903391751,2
65,77.6579271057055,2
66,30.0995701383508,2
65,57.0437119292116,2
65,101.526504176611,2
65,116.112665367395,2
65,105.165590938585,2
65,93.3173060454265,2
64,90.2592652187453,2
65,101.095860468633,2
65,50.7011299391574,2
65,134.224209449385,2
65,106.83780155235,2
65,42.9990388326886,2
65,95.4356343458725,2
65,61.598898893632,2
65,105.328348540557,2
65,46.205989563058,2
65,83.4733345813537,2
65,30.9310689369191,2
65,90.3412762746062,2
65,133.777945237079,2
65,106.350313143601,2
